www.real-timenews.com,104.28.19.196
www.prothom-alo.com,45.64.64.216
www.dailyjanakantha.com,45.63.122.154
www.dailyinqilab.com,206.225.87.153
independent-bangladesh.com,97.74.249.1
http://www.anandabazar.com/,104.16.138.23
codeforces.com,212.193.33.27
https://www.amarblog.com/,66.33.194.216
http://www.evergreenbangla.com/,66.33.192.173
www.fb.com,31.13.78.35
www.google.com,103.15.42.123
spoj.com,195.149.199.189
uva.onlinejudge.org,92.222.246.128
binaryrongo.wordpress.com,192.0.78.12
www.lightoj.com,108.161.130.49
www.shafaetsplanet.com,96.9.253.51
http://dutimz.com/,199.255.139.34
jhankarmahbub.com,67.225.129.89
extratorrent.cc,104.20.56.43
www.bandwidthplace.com,23.246.217.26
www.youtube.com,74.125.200.190
typing-speed-test.aoeu.eu,45.55.158.154
www.slideshare.net,144.2.1.10
docs.google.com,103.15.42.88
mail.google.com,74.125.200.83
drive.google.com,103.15.42.89
https://citynet71.com/,198.54.115.67
sportprogramming.blogspot.in,74.125.200.132
www.bdlan.net,103.204.208.202
blog.forthright48.com,74.125.200.121
